Tot_Gas_Yield_umol_gcat_h,Class,class,class_n
197.31,150-300,c,3
135.3,45-150,b,2
2.09,0-45,a,1
2.56,0-45,a,1
1.6,0-45,a,1
1.35,0-45,a,1
1.97,0-45,a,1
0.61,0-45,a,1
1.12,0-45,a,1
0.99,0-45,a,1
1.47,0-45,a,1
16.75,0-45,a,1
51.16,45-150,b,2
24.21,0-45,a,1
0.5,0-45,a,1
1.8,0-45,a,1
2.3,0-45,a,1
0.8,0-45,a,1
2.5,0-45,a,1
3.64,0-45,a,1
0.5,0-45,a,1
1.8,0-45,a,1
4.0,0-45,a,1
0.02,0-45,a,1
0.1,0-45,a,1
0.03,0-45,a,1
0.04,0-45,a,1
0.07,0-45,a,1
0.17,0-45,a,1
0.07,0-45,a,1
0.06,0-45,a,1
0.02,0-45,a,1
0.21,0-45,a,1
0.13,0-45,a,1
0.55,0-45,a,1
0.2,0-45,a,1
6.36,0-45,a,1
5.84,0-45,a,1
3.9,0-45,a,1
2.83,0-45,a,1
136.0,45-150,b,2
102.0,45-150,b,2
7.57,0-45,a,1
2.99,0-45,a,1
1.06,0-45,a,1
0.24,0-45,a,1
0.55,0-45,a,1
0.07,0-45,a,1
0.46,0-45,a,1
0.04,0-45,a,1
0.23,0-45,a,1
0.25,0-45,a,1
0.14,0-45,a,1
0.01,0-45,a,1
0.06,0-45,a,1
0.02,0-45,a,1
2.11,0-45,a,1
2.94,0-45,a,1
0.1,0-45,a,1
0.47,0-45,a,1
0.01,0-45,a,1
0.02,0-45,a,1
0.06,0-45,a,1
0.03,0-45,a,1
0.17,0-45,a,1
0.36,0-45,a,1
0.42,0-45,a,1
0.45,0-45,a,1
0.5,0-45,a,1
0.09,0-45,a,1
0.1,0-45,a,1
0.1,0-45,a,1
0.1,0-45,a,1
0.09,0-45,a,1
0.16,0-45,a,1
0.37,0-45,a,1
0.04,0-45,a,1
0.07,0-45,a,1
0.13,0-45,a,1
1.01,0-45,a,1
1.11,0-45,a,1
1.19,0-45,a,1
1.27,0-45,a,1
1.37,0-45,a,1
9.74,0-45,a,1
0.22,0-45,a,1
0.35,0-45,a,1
0.41,0-45,a,1
0.45,0-45,a,1
0.12,0-45,a,1
0.26,0-45,a,1
0.35,0-45,a,1
0.43,0-45,a,1
0.08,0-45,a,1
0.16,0-45,a,1
0.18,0-45,a,1
0.02,0-45,a,1
0.28,0-45,a,1
152.45,150-300,c,3
37.38,0-45,a,1
41.43,0-45,a,1
0.02,0-45,a,1
0.02,0-45,a,1
0.02,0-45,a,1
0.04,0-45,a,1
0.03,0-45,a,1
0.04,0-45,a,1
0.04,0-45,a,1
0.04,0-45,a,1
0.04,0-45,a,1
0.03,0-45,a,1
0.02,0-45,a,1
0.02,0-45,a,1
0.04,0-45,a,1
0.04,0-45,a,1
0.04,0-45,a,1
0.04,0-45,a,1
0.03,0-45,a,1
0.03,0-45,a,1
134.83,45-150,b,2
197.33,150-300,c,3
265.33,150-300,c,3
442.5,over300,d,4
213.17,150-300,c,3
127.83,45-150,b,2
194.0,150-300,c,3
224.33,150-300,c,3
840.0,over300,d,4
401.94,over300,d,4
219.0,150-300,c,3
97.0,45-150,b,2
3.64,0-45,a,1
2.11,0-45,a,1
0.36,0-45,a,1
2.92,0-45,a,1
12.9,0-45,a,1
0.99,0-45,a,1
18.68,0-45,a,1
0.12,0-45,a,1
1.0,0-45,a,1
15.14,0-45,a,1
21.74,0-45,a,1
1.61,0-45,a,1
0.6,0-45,a,1
0.06,0-45,a,1
0.34,0-45,a,1
1.32,0-45,a,1
2.12,0-45,a,1
0.32,0-45,a,1
1.34,0-45,a,1
9.51,0-45,a,1
16.14,0-45,a,1
19.07,0-45,a,1
22.9,0-45,a,1
16.61,0-45,a,1
7.1,0-45,a,1
4.39,0-45,a,1
2.84,0-45,a,1
4.26,0-45,a,1
4.47,0-45,a,1
9.05,0-45,a,1
27.17,0-45,a,1
40.93,0-45,a,1
31.77,0-45,a,1
53.84,45-150,b,2
6.65,0-45,a,1
9.9,0-45,a,1
11.35,0-45,a,1
10.1,0-45,a,1
15.15,0-45,a,1
14.5,0-45,a,1
14.05,0-45,a,1
17.95,0-45,a,1
11.1,0-45,a,1
12.0,0-45,a,1
18.3,0-45,a,1
14.25,0-45,a,1
9.24,0-45,a,1
75.54,45-150,b,2
43.78,0-45,a,1
183.0,150-300,c,3
203.38,150-300,c,3
0.02,0-45,a,1
0.01,0-45,a,1
72.0,45-150,b,2
142.0,45-150,b,2
286.1,150-300,c,3
232.8,150-300,c,3
120.0,45-150,b,2
11.0,0-45,a,1
103.9,45-150,b,2
17.0,0-45,a,1
310.0,over300,d,4
14.0,0-45,a,1
21.5,0-45,a,1
4.0,0-45,a,1
0.04,0-45,a,1
0.19,0-45,a,1
2.4,0-45,a,1
0.72,0-45,a,1
0.75,0-45,a,1
3.93,0-45,a,1
1.34,0-45,a,1
0.12,0-45,a,1
3.44,0-45,a,1
3.3,0-45,a,1
3.58,0-45,a,1
94.39,45-150,b,2
7.27,0-45,a,1
2.96,0-45,a,1
1.64,0-45,a,1
1.29,0-45,a,1
0.28,0-45,a,1
0.4,0-45,a,1
0.29,0-45,a,1
0.69,0-45,a,1
1.05,0-45,a,1
0.57,0-45,a,1
0.27,0-45,a,1
0.1,0-45,a,1
0.18,0-45,a,1
555.31,over300,d,4
477.94,over300,d,4
359.0,over300,d,4
245.0,150-300,c,3
5.47,0-45,a,1
5.47,0-45,a,1
3.72,0-45,a,1
54.37,45-150,b,2
97.1,45-150,b,2
9.8,0-45,a,1
13.27,0-45,a,1
0.34,0-45,a,1
0.45,0-45,a,1
0.59,0-45,a,1
0.76,0-45,a,1
1.03,0-45,a,1
0.56,0-45,a,1
0.08,0-45,a,1
0.67,0-45,a,1
0.16,0-45,a,1
1.81,0-45,a,1
0.12,0-45,a,1
0.07,0-45,a,1
