Tot_Gas_Yield_umol_gcat_h,Class,class,class_n
197.31,over 100,d,4
135.3,over 100,d,4
2.09,0-10,a,1
2.56,0-10,a,1
1.6,0-10,a,1
1.35,0-10,a,1
1.97,0-10,a,1
0.61,0-10,a,1
1.12,0-10,a,1
0.99,0-10,a,1
1.47,0-10,a,1
16.75,10-20,b,2
51.16,20-100,c,3
24.21,20-100,c,3
0.5,0-10,a,1
1.8,0-10,a,1
2.3,0-10,a,1
0.8,0-10,a,1
2.5,0-10,a,1
3.64,0-10,a,1
0.5,0-10,a,1
1.8,0-10,a,1
4,0-10,a,1
0.02,0-10,a,1
0.1,0-10,a,1
0.03,0-10,a,1
0.04,0-10,a,1
0.07,0-10,a,1
0.17,0-10,a,1
0.07,0-10,a,1
0.06,0-10,a,1
0.02,0-10,a,1
0.21,0-10,a,1
0.13,0-10,a,1
0.55,0-10,a,1
0.2,0-10,a,1
6.36,0-10,a,1
5.84,0-10,a,1
3.9,0-10,a,1
2.83,0-10,a,1
136,over 100,d,4
102,over 100,d,4
7.57,0-10,a,1
2.99,0-10,a,1
1.06,0-10,a,1
0.24,0-10,a,1
0.55,0-10,a,1
0.07,0-10,a,1
0.46,0-10,a,1
0.04,0-10,a,1
0.23,0-10,a,1
0.25,0-10,a,1
0.14,0-10,a,1
0.01,0-10,a,1
0.06,0-10,a,1
0.02,0-10,a,1
2.11,0-10,a,1
2.94,0-10,a,1
0.1,0-10,a,1
0.47,0-10,a,1
0.01,0-10,a,1
0.02,0-10,a,1
0.06,0-10,a,1
0.03,0-10,a,1
0.17,0-10,a,1
0.36,0-10,a,1
0.42,0-10,a,1
0.45,0-10,a,1
0.5,0-10,a,1
0.09,0-10,a,1
0.1,0-10,a,1
0.1,0-10,a,1
0.1,0-10,a,1
0.09,0-10,a,1
0.16,0-10,a,1
0.37,0-10,a,1
0.04,0-10,a,1
0.07,0-10,a,1
0.13,0-10,a,1
1.01,0-10,a,1
1.11,0-10,a,1
1.19,0-10,a,1
1.27,0-10,a,1
1.37,0-10,a,1
9.74,0-10,a,1
0.22,0-10,a,1
0.35,0-10,a,1
0.41,0-10,a,1
0.45,0-10,a,1
0.12,0-10,a,1
0.26,0-10,a,1
0.35,0-10,a,1
0.43,0-10,a,1
0.08,0-10,a,1
0.16,0-10,a,1
0.18,0-10,a,1
0.02,0-10,a,1
0.28,0-10,a,1
152.45,over 100,d,4
37.38,20-100,c,3
41.43,20-100,c,3
0.02,0-10,a,1
0.02,0-10,a,1
0.02,0-10,a,1
0.04,0-10,a,1
0.03,0-10,a,1
0.04,0-10,a,1
0.04,0-10,a,1
0.04,0-10,a,1
0.04,0-10,a,1
0.03,0-10,a,1
0.02,0-10,a,1
0.02,0-10,a,1
0.04,0-10,a,1
0.04,0-10,a,1
0.04,0-10,a,1
0.04,0-10,a,1
0.03,0-10,a,1
0.03,0-10,a,1
134.83,over 100,d,4
197.33,over 100,d,4
265.33,over 100,d,4
442.5,over 100,d,4
213.17,over 100,d,4
127.83,over 100,d,4
194,over 100,d,4
224.33,over 100,d,4
840,over 100,d,4
401.94,over 100,d,4
219,over 100,d,4
97,20-100,c,3
3.64,0-10,a,1
2.11,0-10,a,1
0.36,0-10,a,1
2.92,0-10,a,1
12.9,10-20,b,2
0.99,0-10,a,1
18.68,10-20,b,2
0.12,0-10,a,1
1,0-10,a,1
15.14,10-20,b,2
21.74,20-100,c,3
1.61,0-10,a,1
0.6,0-10,a,1
0.06,0-10,a,1
0.34,0-10,a,1
1.32,0-10,a,1
2.12,0-10,a,1
0.32,0-10,a,1
1.34,0-10,a,1
9.51,0-10,a,1
16.14,10-20,b,2
19.07,10-20,b,2
22.9,20-100,c,3
16.61,10-20,b,2
7.1,0-10,a,1
4.39,0-10,a,1
2.84,0-10,a,1
4.26,0-10,a,1
4.47,0-10,a,1
9.05,0-10,a,1
27.17,20-100,c,3
40.93,20-100,c,3
31.77,20-100,c,3
53.84,20-100,c,3
6.65,0-10,a,1
9.9,0-10,a,1
11.35,10-20,b,2
10.1,10-20,b,2
15.15,10-20,b,2
14.5,10-20,b,2
14.05,10-20,b,2
17.95,10-20,b,2
11.1,10-20,b,2
12,10-20,b,2
18.3,10-20,b,2
14.25,10-20,b,2
9.24,0-10,a,1
75.54,20-100,c,3
43.78,20-100,c,3
183,over 100,d,4
203.38,over 100,d,4
0.02,0-10,a,1
0.01,0-10,a,1
72,20-100,c,3
142,over 100,d,4
286.1,over 100,d,4
232.8,over 100,d,4
120,over 100,d,4
11,10-20,b,2
103.9,over 100,d,4
17,10-20,b,2
310,over 100,d,4
14,10-20,b,2
21.5,20-100,c,3
4,0-10,a,1
0.04,0-10,a,1
0.19,0-10,a,1
2.4,0-10,a,1
0.72,0-10,a,1
0.75,0-10,a,1
3.93,0-10,a,1
1.34,0-10,a,1
0.12,0-10,a,1
3.44,0-10,a,1
3.3,0-10,a,1
3.58,0-10,a,1
94.39,20-100,c,3
7.27,0-10,a,1
2.96,0-10,a,1
1.64,0-10,a,1
1.29,0-10,a,1
0.28,0-10,a,1
0.4,0-10,a,1
0.29,0-10,a,1
0.69,0-10,a,1
1.05,0-10,a,1
0.57,0-10,a,1
0.27,0-10,a,1
0.1,0-10,a,1
0.18,0-10,a,1
555.31,over 100,d,4
477.94,over 100,d,4
359,over 100,d,4
245,over 100,d,4
5.47,0-10,a,1
5.47,0-10,a,1
3.72,0-10,a,1
54.37,20-100,c,3
97.1,20-100,c,3
9.8,0-10,a,1
13.27,10-20,b,2
0.34,0-10,a,1
0.45,0-10,a,1
0.59,0-10,a,1
0.76,0-10,a,1
1.03,0-10,a,1
0.56,0-10,a,1
0.08,0-10,a,1
0.67,0-10,a,1
0.16,0-10,a,1
1.81,0-10,a,1
0.12,0-10,a,1
0.07,0-10,a,1
0.13,0-10,a,1
0.91,0-10,a,1
1.12,0-10,a,1
1.69,0-10,a,1
1.42,0-10,a,1
1.53,0-10,a,1
0.02,0-10,a,1
0.02,0-10,a,1
0.07,0-10,a,1
3.33,0-10,a,1
3.13,0-10,a,1
5.74,0-10,a,1
18.55,10-20,b,2
20.34,20-100,c,3
9.02,0-10,a,1
43.69,20-100,c,3
99.25,20-100,c,3
129.5,over 100,d,4
273,over 100,d,4
192,over 100,d,4
9.09,0-10,a,1
17.1,10-20,b,2
21.19,20-100,c,3
16.37,10-20,b,2
15.06,10-20,b,2
1.72,0-10,a,1
3.75,0-10,a,1
6.94,0-10,a,1
8.38,0-10,a,1
4,0-10,a,1
1.04,0-10,a,1
2.57,0-10,a,1
1.08,0-10,a,1
7.12,0-10,a,1
12.62,10-20,b,2
17.58,10-20,b,2
10.8,10-20,b,2
7.13,0-10,a,1
3.83,0-10,a,1
1.83,0-10,a,1
8.51,0-10,a,1
15.7,10-20,b,2
21.14,20-100,c,3
13.4,10-20,b,2
8.81,0-10,a,1
5.49,0-10,a,1
35.7,20-100,c,3
0.68,0-10,a,1
1.59,0-10,a,1
3.09,0-10,a,1
45,20-100,c,3
110,over 100,d,4
198,over 100,d,4
433,over 100,d,4
240.8,over 100,d,4
2.12,0-10,a,1
0.54,0-10,a,1
0.89,0-10,a,1
2.52,0-10,a,1
3.25,0-10,a,1
1.9,0-10,a,1
1.51,0-10,a,1
0.99,0-10,a,1
0.5,0-10,a,1
2.81,0-10,a,1
3.19,0-10,a,1
4.6,0-10,a,1
6.13,0-10,a,1
8.18,0-10,a,1
10.22,10-20,b,2
7.03,0-10,a,1
4.09,0-10,a,1
3.78,0-10,a,1
2.75,0-10,a,1
6.17,0-10,a,1
8.44,0-10,a,1
13.35,10-20,b,2
10.07,10-20,b,2
9.82,0-10,a,1
4.91,0-10,a,1
3.4,0-10,a,1
54.81,20-100,c,3
95.45,20-100,c,3
116.53,over 100,d,4
130.08,over 100,d,4
78.52,20-100,c,3
51.53,20-100,c,3
1.68,0-10,a,1
2.69,0-10,a,1
4.17,0-10,a,1
3.31,0-10,a,1
2.42,0-10,a,1
0.55,0-10,a,1
44.95,20-100,c,3
17.64,10-20,b,2
22.9,20-100,c,3
9.96,0-10,a,1
12.16,10-20,b,2
11.08,10-20,b,2
7.3,0-10,a,1
8.96,0-10,a,1
9.32,0-10,a,1
8.27,0-10,a,1
